sample_id,batch_id,supplier,product,workshop,weight,thickness,temperature,defect_flag
S00001,BATCH-2024-05-01,供应商甲,产品C,1号车间,505.5,2.82,21.6,0
S00002,BATCH-2024-05-01,供应商乙,产品A,1号车间,462.2,2.62,23.6,0
S00003,BATCH-2024-05-01,供应商丙,产品B,3号车间,485.2,2.3,23.4,0
S00004,BATCH-2024-05-01,供应商甲,产品B,3号车间,526.2,2.36,23.6,0
S00005,BATCH-2024-05-01,供应商乙,产品A,1号车间,486.3,2.63,22.3,0
S00006,BATCH-2024-05-01,供应商乙,产品A,2号车间,513.0,2.65,23.6,0
S00007,BATCH-2024-05-01,供应商乙,产品B,3号车间,526.7,2.62,23.6,0
S00008,BATCH-2024-05-01,供应商甲,产品D,2号车间,442.5,2.14,23.8,0
S00009,BATCH-2024-05-01,供应商乙,产品B,3号车间,495.0,2.97,21.8,0
S00010,BATCH-2024-05-01,供应商丙,产品B,1号车间,478.0,2.35,23.3,0
S00011,BATCH-2024-05-01,供应商丙,产品B,3号车间,484.6,2.81,25.6,0
S00012,BATCH-2024-05-01,供应商乙,产品C,1号车间,512.8,2.62,26.5,0
S00013,BATCH-2024-05-01,供应商乙,产品B,3号车间,458.4,2.5,22.5,0
S00014,BATCH-2024-05-01,供应商丙,产品C,3号车间,491.3,2.13,21.4,0
S00015,BATCH-2024-05-01,供应商甲,产品B,3号车间,466.4,2.51,23.6,0
S00016,BATCH-2024-05-01,供应商丙,产品D,3号车间,491.2,2.68,23.6,0
S00017,BATCH-2024-05-01,供应商丙,产品C,3号车间,501.9,2.48,22.6,0
S00018,BATCH-2024-05-01,供应商乙,产品C,1号车间,470.2,2.47,23.8,1
S00019,BATCH-2024-05-01,供应商丙,产品C,3号车间,501.8,2.26,24.6,0
S00020,BATCH-2024-05-01,供应商丙,产品B,1号车间,517.4,2.42,23.6,0
S00021,BATCH-2024-05-01,供应商丙,产品A,3号车间,498.2,2.54,25.8,0
S00022,BATCH-2024-05-01,供应商乙,产品B,1号车间,482.3,2.51,24.9,0
S00023,BATCH-2024-05-01,供应商丙,产品D,1号车间,524.4,2.47,24.5,0
